m,x,y,z,vx,vy,vz
0.0,60638487898.62639,-330049641562.20715,3439283214.7227354,13150.161162398703,15970.16951807298,810.28856101217
0.0,88456251536.15926,-290032158398.1457,5171522917.876801,12560.834892509598,18768.618429176135,777.9771651930363
0.0,82675362841.2065,-299010517902.9655,4810634199.655749,12725.994703959179,18133.465625802208,787.3616285429289
0.0,80319626111.46188,-302456483263.96606,4667497472.82402,12788.059275997166,17889.163779170045,791.4165134375008
0.0,83183332083.5383,-298237570476.7383,4842345124.093217,12712.548127613984,18187.99248852864,786.6019729005288
0.0,20645739667.647774,-376711216308.2099,971790142.7035128,13408.9765416547,12801.105676661547,816.4024705856042
0.0,86424458554.08696,-293234544999.6524,5044720710.639841,12621.994433545982,18541.631367348713,781.4684316757283
0.0,12929076448.817814,-384672390520.06036,503727374.5921872,13409.604895177632,12268.707126726269,814.1130161362689
0.0,120450927699.82994,-230396600436.58328,7155841759.550544,10913.638510513254,23096.22766019291,680.8534783009275
0.0,82339796426.86786,-299519486634.1142,4789683818.40144,12734.771095034454,18097.576744344053,787.8558028603743
0.0,121114589399.17769,-228908339254.8527,7196865915.293706,10858.667205845311,23206.40191526489,677.5540371868773
0.0,-86867329021.03012,-466034664510.2681,-5259041195.456939,12722.202115238117,6837.3661072552595,729.4525964798108
0.0,152866279254.20816,-116792354287.7504,9127119462.563622,4090.2705912531933,31455.347544429053,269.52043676046605
0.0,134506074513.26826,-195023614159.69144,8021626083.455616,9393.176884384262,25731.453492644847,589.2456575211334
0.0,95907937462.54999,-277800565848.9618,5635272616.420433,12303.98634534659,19640.371453461405,763.1807005134433
0.0,96116163660.84116,-277446898502.41327,5648186904.887579,12296.000052544534,19665.70028402399,762.7157728265839
0.0,77314155151.64374,-306994921572.4165,4476125347.60117,12856.485677026734,17571.995476160002,794.644864142242
0.0,66815888137.99271,-321798237316.1466,3822742231.2131376,13058.810648510045,16540.135053094167,805.5766450655887
0.0,103567891926.91716,-264323826541.65616,6110124894.087274,11975.854075579491,20610.839707403968,744.0408745758782
0.0,72771931272.57254,107360195986.69579,4205422312.2216396,-31642.046462295948,25725.74100681846,-1779.8013808520461
0.0,-26571381394.37312,150416588127.23584,-1378323167.8714974,-36449.891822704805,7195.97084979152,-2161.9186900618256
0.0,-26598985824.972538,150422042321.15076,-1379962464.5365114,-36449.13471679542,7191.717244611455,-2161.8751546576104
0.0,-26611566731.20076,150424524935.03793,-1380708043.196555,-36448.7895097086,7189.779627942363,-2161.8571568845086
0.0,-26535513302.83304,150409509293.82974,-1376198231.4014392,-36450.87278020034,7201.499306768949,-2161.971020155856
0.0,-26527195780.060986,150407864884.01965,-1375704749.7842517,-36451.100392518594,7202.781438544638,-2161.9838268846247
0.0,-26548062625.91293,150411991490.3833,-1376943412.990772,-36450.52872031167,7199.565879472032,-2161.953232703327
0.0,-26488552319.16076,150400229531.214,-1373414361.6042745,-36452.15597354817,7208.738901655847,-2162.041214721007
0.0,-26522102515.49687,150406862302.6466,-1375403546.8450933,-36451.23951677411,7203.564641477356,-2161.9902257600493
0.0,-26578587324.878395,150418013140.61386,-1378751634.60089,-36449.69411192039,7194.860230703613,-2161.9078183176725
0.0,-26541407189.66688,150410674199.16898,-1376547854.4734602,-36450.71150862289,7200.590520366153,-2161.9624577158697
0.0,-26614129311.11985,150425022561.01407,-1380857767.8376374,-36448.720022828165,7189.386538256832,-2161.854725020594
0.0,-26553591469.551037,150413083608.56805,-1377271253.3498635,-36450.37802482568,7198.710965482229,-2161.9434597906784
0.0,-26640518146.279053,150430217982.58292,-1382419782.8085778,-36447.99755251287,7185.319678797218,-2161.8165923660486
0.0,-26624067542.273457,150426987401.02356,-1381447950.2683697,-36448.44704548022,7187.853888467625,-2161.8393878634415
0.0,-26524401816.14854,150407315904.58493,-1375540231.6270845,-36451.176561935725,7203.211136945299,-2161.987105199149
0.0,-26579571606.665787,150418210434.8478,-1378810682.707425,-36449.66685942695,7194.707834727193,-2161.905852912441
0.0,-26525768091.498646,150407584902.06213,-1375620607.1445806,-36451.13944126105,7202.999999642516,-2161.985348389885
0.0,-26592700274.42602,150420798606.6108,-1379588397.1081893,-36449.30713564844,7192.6870338342005,-2161.886649081734
0.0,-26645896911.79215,150431283286.42096,-1382740669.8600168,-36447.84935107902,7184.490388017208,-2161.8075501133867
0.0,-26495112735.980465,150401524878.09586,-1373803003.9433274,-36451.97735268355,7207.725834779386,-2162.031889470695
0.0,-26614025588.59525,150425000592.8462,-1380851065.727701,-36448.72365678571,7189.399877490098,-2161.854257149545
0.0,-26588868460.360916,150420041325.895,-1379360622.6634412,-36449.412514891475,7193.276544273132,-2161.891970357931
0.0,-26633122512.946323,150428772657.12817,-1381985570.361844,-36448.198320965916,7186.4606574902755,-2161.8258059525274
0.0,-26590779629.22546,150420413485.10364,-1379472689.256867,-36449.36072997312,7192.983055749574,-2161.8888834511395
0.0,-26615121370.0528,150425221456.70557,-1380917184.8210344,-36448.692796596915,7189.23141690828,-2161.852839721668
0.0,-26586160366.394623,150419506452.23193,-1379199678.3901575,-36449.48684482943,7193.693656249317,-2161.895531570936
0.0,-26523843017.00926,150407205853.7251,-1375506970.7564554,-36451.191692230976,7203.29765198672,-2161.9882318879913
0.0,-26583407024.83544,150418966518.76175,-1379037497.2099385,-36449.561938699066,7194.116744342072,-2161.9003024898752
0.0,-26573939350.279266,150417101515.92325,-1378477527.7028642,-36449.82027899247,7195.577955726638,-2161.91386802899
0.0,-26600482324.67035,150422333522.7036,-1380049898.1100159,-36449.09423818554,7191.486613941939,-2161.874499811053
0.0,-26585647328.97338,150419409725.9879,-1379170740.3647408,-36449.50012898189,7193.773234686171,-2161.8958428964083
0.0,-26517763801.85117,150406002324.60733,-1375146271.1616561,-36451.358028998045,7204.235729227283,-2161.9975614983778
0.0,-26526692278.899643,150407763719.0753,-1375673908.0436187,-36451.11457244528,7202.858200414167,-2161.984825037953
0.0,-26626988372.899452,150427560985.2773,-1381621399.5605948,-36448.36705256335,7187.405183192469,-2161.834747712214
0.0,-26575563538.896633,150417423026.89392,-1378574010.1711733,-36449.77578474705,7195.327023988962,-2161.9114368730743
0.0,-26565842948.98111,150415508143.60376,-1377999452.7877965,-36450.0412481115,7196.825653462902,-2161.9254295391834
0.0,-26618917823.33524,150425970736.44592,-1381142912.2796254,-36448.58842478334,7188.647104184704,-2161.8481916461033
0.0,-26532368685.1583,150408888161.41046,-1376012219.7353833,-36450.95879049714,7201.983944559556,-2161.975611265304
0.0,-26547444209.942394,150411871949.3715,-1376907358.9309287,-36450.54546439955,7199.660236871245,-2161.9536011490354
0.0,-26638217414.50627,150429776657.57266,-1382287534.0451193,-36448.0588824814,7185.674344999922,-2161.8180167177115
0.0,-26551353696.12524,150412642541.2336,-1377138491.6784446,-36450.439048144195,7199.056251191815,-2161.9469558633946
